year,month,average_ppb,average_ppm,average_unc
2010,5,323.01,0.32301,0.13
2010,6,323.01,0.32301,0.13
2010,7,323.03,0.32303,0.14
2010,8,323.1,0.3231,0.14
2010,9,323.26,0.32326,0.14
2010,10,323.51,0.32351,0.15
2010,11,323.76,0.32376,0.15
2010,12,323.94,0.32394,0.15
2011,1,324.04,0.32404,0.15
2011,2,324.08,0.32408,0.14
2011,3,324.08,0.32408,0.14
2011,4,324.06,0.32406,0.13
2011,5,324.05,0.32405,0.13
2011,6,324.05,0.32405,0.13
2011,7,324.06,0.32406,0.13
2011,8,324.1,0.3241,0.13
2011,9,324.24,0.32424,0.14
2011,10,324.45,0.32445,0.14
2011,11,324.63,0.32463,0.14
2011,12,324.77,0.32477,0.14
2012,1,324.9,0.3249,0.14
2012,2,324.97,0.32497,0.14
2012,3,324.96,0.32496,0.14
2012,4,324.92,0.32492,0.14
2012,5,324.9,0.3249,0.14
2012,6,324.86,0.32486,0.14
2012,7,324.87,0.32487,0.14
2012,8,324.97,0.32497,0.14
2012,9,325.12,0.32512,0.14
2012,10,325.28,0.32528,0.14
2012,11,325.43,0.32543,0.14
2012,12,325.53,0.32553,0.15
2013,1,325.58,0.32558,0.14
2013,2,325.62,0.32562,0.14
2013,3,325.68,0.32568,0.13
2013,4,325.74,0.32574,0.13
2013,5,325.81,0.32581,0.13
2013,6,325.89,0.32589,0.14
2013,7,325.95,0.32595,0.14
2013,8,325.98,0.32598,0.14
2013,9,326.05,0.32605,0.14
2013,10,326.2,0.3262,0.14
2013,11,326.37,0.32637,0.13
2013,12,326.51,0.32651,0.14
2014,1,326.61,0.32661,0.14
2014,2,326.66,0.32666,0.14
2014,3,326.72,0.32672,0.13
2014,4,326.79,0.32679,0.13
2014,5,326.82,0.32682,0.13
2014,6,326.89,0.32689,0.13
2014,7,327.03,0.32703,0.14
2014,8,327.18,0.32718,0.13
2014,9,327.33,0.32733,0.14
2014,10,327.52,0.32752,0.13
2014,11,327.71,0.32771,0.13
2014,12,327.87,0.32787,0.13
2015,1,327.99,0.32799,0.13
2015,2,328.05,0.32805,0.13
2015,3,328.04,0.32804,0.13
2015,4,327.97,0.32797,0.14
2015,5,327.92,0.32792,0.14
2015,6,327.96,0.32796,0.14
2015,7,328.04,0.32804,0.14
2015,8,328.12,0.32812,0.14
2015,9,328.24,0.32824,0.14
2015,10,328.42,0.32842,0.14
2015,11,328.61,0.32861,0.14
2015,12,328.77,0.32877,0.14
2016,1,328.87,0.32887,0.14
2016,2,328.9,0.3289,0.14
2016,3,328.88,0.32888,0.14
2016,4,328.87,0.32887,0.13
2016,5,328.9,0.3289,0.13
2016,6,328.91,0.32891,0.14
2016,7,328.84,0.32884,0.13
2016,8,328.78,0.32878,0.13
2016,9,328.85,0.32885,0.13
2016,10,329.04,0.32904,0.13
2016,11,329.22,0.32922,0.12
2016,12,329.35,0.32935,0.12
2017,1,329.46,0.32946,0.13
2017,2,329.52,0.32952,0.13
2017,3,329.53,0.32953,0.13
2017,4,329.53,0.32953,0.12
2017,5,329.52,0.32952,0.12
2017,6,329.58,0.32958,0.13
2017,7,329.7,0.3297,0.13
2017,8,329.79,0.32979,0.13
2017,9,329.87,0.32987,0.13
2017,10,330.01,0.33001,0.13
2017,11,330.15,0.33015,0.13
2017,12,330.29,0.33029,0.13
2018,1,330.45,0.33045,0.13
2018,2,330.6,0.3306,0.13
2018,3,330.69,0.33069,0.14
2018,4,330.71,0.33071,0.14
2018,5,330.7,0.3307,0.13
2018,6,330.7,0.3307,0.13
2018,7,330.74,0.33074,0.13
2018,8,330.87,0.33087,0.13
2018,9,331.07,0.33107,0.13
2018,10,331.28,0.33128,0.12
2018,11,331.48,0.33148,0.12
2018,12,331.68,0.33168,0.13
2019,1,331.79,0.33179,0.13
2019,2,331.75,0.33175,0.13
2019,3,331.67,0.33167,0.13
2019,4,331.62,0.33162,0.13
2019,5,331.64,0.33164,0.13
2019,6,331.73,0.33173,0.13
2019,7,331.85,0.33185,0.12
2019,8,331.89,0.33189,0.13
2019,9,331.93,0.33193,0.13
2019,10,332.08,0.33208,0.14
2019,11,332.27,0.33227,0.14
2019,12,332.42,0.33242,0.15
2020,1,332.51,0.33251,0.15
2020,2,332.58,0.33258,0.15
2020,3,332.64,0.33264,0.14
2020,4,332.72,0.33272,0.14
2020,5,332.79,0.33279,0.14
2020,6,332.89,0.33289,0.14
2020,7,333.04,0.33304,0.14
2020,8,333.17,0.33317,0.13
2020,9,333.27,0.33327,0.14
2020,10,333.43,0.33343,0.14
2020,11,333.63,0.33363,0.14
2020,12,333.8,0.3338,0.14
2021,1,333.92,0.33392,0.13
2021,2,334,0.334,0.13
2021,3,334.05,0.33405,0.12
2021,4,334.1,0.3341,0.12
2021,5,334.15,0.33415,0.12
2021,6,334.16,0.33416,0.13
2021,7,334.18,0.33418,0.12
2021,8,334.27,0.33427,0.12
2021,9,334.43,0.33443,0.12
2021,10,334.64,0.33464,0.12
2021,11,334.87,0.33487,0.12
2021,12,335.1,0.3351,0.13
2022,1,335.27,0.33527,0.13
2022,2,335.36,0.33536,-9.99
2022,3,335.42,0.33542,-9.99
2022,4,335.47,0.33547,-9.99
2022,5,335.49,0.33549,-9.99
2022,6,335.5,0.3355,-9.99
2022,7,335.56,0.33556,-9.99
2022,8,335.65,0.33565,-9.99
2022,9,335.77,0.33577,-9.99
2022,10,335.95,0.33595,-9.99
2022,11,336.16,0.33616,-9.99
2022,12,336.35,0.33635,-9.99
2023,1,336.47,0.33647,-9.99
2023,2,336.53,0.33653,-9.99
